                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87793,                0.62053,                 1.0147,                0.81394,                0.76553,                0.83527,                0.62051,                0.97383,                0.67051,                 1.0151,               0.006535,               0.006535,               0.006535
                     37,                0.86216,                0.60203,                 1.0065,                0.82413,                0.76412,                0.83888,                 0.6242,                 0.9754,                0.66143,                 1.0132,               0.006436,               0.006436,               0.006436
                     38,                0.86028,                 0.6029,                 1.0003,                0.82789,                0.75395,                0.83939,                0.62336,                0.97305,                0.66873,                 1.0127,               0.006337,               0.006337,               0.006337
                     39,                0.86375,                0.59534,                 1.0007,                0.81959,                0.76296,                0.83904,                0.62298,                 0.9672,                0.66391,                 1.0083,               0.006238,               0.006238,               0.006238
                     40,                0.85883,                0.59404,                 1.0041,                 0.8178,                0.76434,                0.83683,                0.62357,                0.96754,                0.66811,                 1.0145,               0.006139,               0.006139,               0.006139
                     41,                0.85329,                0.58456,                0.99851,                0.83023,                0.76161,                0.83932,                0.62538,                0.96974,                 0.6638,                 1.0146,                0.00604,                0.00604,                0.00604
                     42,                0.85566,                0.57993,                0.99818,                0.82536,                0.76419,                0.84031,                0.62752,                0.97002,                0.66009,                 1.0149,               0.005941,               0.005941,               0.005941
                     43,                0.83441,                0.57158,                0.99594,                0.83369,                0.76247,                0.83994,                0.62771,                0.96465,                0.65546,                  1.013,               0.005842,               0.005842,               0.005842
                     44,                 0.8365,                0.56566,                0.99074,                0.82668,                 0.7662,                0.84379,                0.63227,                0.96271,                0.65305,                 1.0085,               0.005743,               0.005743,               0.005743
                     45,                0.82459,                0.55647,                0.99056,                0.82505,                0.77399,                0.84581,                0.63474,                0.96175,                0.65737,                 1.0118,               0.005644,               0.005644,               0.005644
                     46,                 0.8332,                 0.5555,                0.98706,                0.83096,                0.77395,                0.84543,                0.63244,                0.96115,                0.65496,                 1.0096,               0.005545,               0.005545,               0.005545
                     47,                0.81882,                0.54538,                0.98733,                0.82196,                0.77909,                0.84539,                0.63292,                0.96009,                0.65398,                 1.0092,               0.005446,               0.005446,               0.005446
                     48,                0.82361,                0.54501,                0.98382,                0.82885,                0.77151,                0.84321,                0.63267,                0.96041,                0.65409,                 1.0077,               0.005347,               0.005347,               0.005347
                     49,                0.81961,                0.54125,                 0.9826,                0.82877,                0.77626,                0.84409,                0.63343,                0.95587,                0.65214,                 1.0052,               0.005248,               0.005248,               0.005248
                     50,                0.81846,                0.54198,                0.97868,                0.83151,                0.77319,                0.84736,                0.63652,                0.95384,                0.64481,                 1.0037,               0.005149,               0.005149,               0.005149
                     51,                0.81252,                0.53635,                0.98041,                0.82152,                0.77943,                0.84531,                0.63473,                0.95567,                0.65138,                 1.0083,                0.00505,                0.00505,                0.00505
                     52,                0.80505,                0.52476,                 0.9761,                0.83445,                0.76855,                0.84513,                 0.6348,                0.95655,                0.65279,                 1.0079,               0.004951,               0.004951,               0.004951
                     53,                0.79496,                0.51797,                0.97471,                0.82578,                0.77607,                0.84393,                 0.6344,                 0.9577,                0.65142,                   1.01,               0.004852,               0.004852,               0.004852
                     54,                0.79194,                0.51163,                0.97221,                0.82657,                0.77375,                0.84378,                0.63542,                0.95554,                0.65331,                 1.0093,               0.004753,               0.004753,               0.004753
                     55,                0.78447,                0.50212,                0.96603,                0.83493,                0.77278,                0.84404,                0.63577,                0.95456,                0.65411,                 1.0104,               0.004654,               0.004654,               0.004654
                     56,                0.78781,                0.50124,                0.96851,                0.83287,                0.77782,                0.84604,                0.63699,                 0.9562,                0.65178,                 1.0108,               0.004555,               0.004555,               0.004555
                     57,                0.78533,                0.50518,                0.96958,                0.82867,                0.77532,                0.84452,                0.63699,                0.95642,                0.65222,                 1.0129,               0.004456,               0.004456,               0.004456
                     58,                0.78081,                0.49119,                0.96325,                0.83692,                 0.7741,                0.84568,                 0.6377,                0.95626,                0.65473,                  1.011,               0.004357,               0.004357,               0.004357
                     59,                0.77474,                0.49133,                0.96051,                0.83792,                0.77355,                0.84535,                0.63741,                0.95527,                0.65494,                 1.0085,               0.004258,               0.004258,               0.004258
                     60,                0.77029,                0.49136,                0.95784,                0.83364,                0.77475,                0.84427,                0.63627,                 0.9555,                0.65448,                 1.0083,               0.004159,               0.004159,               0.004159
                     61,                0.76714,                0.48519,                0.95934,                 0.8314,                  0.776,                0.84601,                0.63831,                0.95309,                0.65453,                 1.0082,                0.00406,                0.00406,                0.00406
                     62,                0.76212,                0.48239,                 0.9574,                0.83375,                0.77862,                0.84764,                0.63995,                0.95206,                0.65575,                 1.0085,               0.003961,               0.003961,               0.003961
                     63,                0.74919,                0.47133,                0.95658,                0.82617,                0.78257,                0.84745,                0.63947,                0.95141,                 0.6572,                 1.0102,               0.003862,               0.003862,               0.003862
                     64,                0.74858,                0.46555,                0.95144,                0.83594,                0.77646,                0.84891,                0.64123,                0.95168,                0.65637,                 1.0107,               0.003763,               0.003763,               0.003763
                     65,                0.74885,                0.46352,                0.94945,                0.83106,                0.78174,                0.84808,                0.64209,                 0.9507,                0.65608,                 1.0097,               0.003664,               0.003664,               0.003664
                     66,                 0.7411,                0.45374,                0.94584,                0.83912,                 0.7746,                0.84704,                0.64198,                0.95072,                0.65696,                 1.0094,               0.003565,               0.003565,               0.003565
                     67,                0.73777,                0.45689,                0.94151,                0.83425,                  0.779,                 0.8472,                0.64146,                0.95097,                0.65782,                 1.0086,               0.003466,               0.003466,               0.003466
                     68,                 0.7407,                0.45483,                0.94384,                 0.8369,                0.77667,                0.84764,                0.64196,                0.95103,                0.65914,                 1.0079,               0.003367,               0.003367,               0.003367
                     69,                0.72665,                0.44446,                0.94162,                0.83612,                 0.7771,                0.84711,                0.64197,                  0.951,                0.65949,                 1.0085,               0.003268,               0.003268,               0.003268
                     70,                0.72768,                0.44073,                0.93736,                0.84135,                0.77357,                  0.848,                0.64338,                0.95144,                0.65918,                 1.0084,               0.003169,               0.003169,               0.003169
                     71,                0.72679,                0.43827,                0.93752,                0.83868,                0.77715,                0.84798,                0.64324,                0.95206,                0.65952,                 1.0091,                0.00307,                0.00307,                0.00307
                     72,                0.71843,                0.43862,                0.93507,                0.84557,                0.77109,                  0.848,                0.64303,                0.95216,                0.66068,                 1.0098,               0.002971,               0.002971,               0.002971
                     73,                0.71169,                0.42943,                0.93429,                0.83698,                 0.7772,                0.84825,                0.64305,                0.95196,                0.66165,                 1.0102,               0.002872,               0.002872,               0.002872
                     74,                0.70162,                0.42425,                0.92956,                0.83602,                0.77572,                0.84797,                0.64318,                0.95249,                0.66367,                 1.0103,               0.002773,               0.002773,               0.002773
                     75,                0.71043,                0.42556,                0.93206,                0.83776,                  0.776,                0.84787,                0.64287,                0.95272,                0.66444,                 1.0101,               0.002674,               0.002674,               0.002674
                     76,                0.69358,                0.41602,                0.92888,                0.83712,                0.77647,                0.84785,                0.64309,                 0.9524,                0.66581,                 1.0104,               0.002575,               0.002575,               0.002575
                     77,                0.68975,                0.40875,                0.92869,                0.83436,                0.78021,                0.84765,                0.64323,                0.95309,                0.66649,                 1.0113,               0.002476,               0.002476,               0.002476
                     78,                0.68971,                0.40934,                0.92703,                0.83584,                0.77794,                0.84725,                0.64308,                0.95323,                0.66782,                 1.0121,               0.002377,               0.002377,               0.002377
                     79,                0.67994,                0.40302,                 0.9241,                0.83245,                0.78083,                0.84677,                0.64248,                0.95379,                0.66835,                 1.0126,               0.002278,               0.002278,               0.002278
                     80,                0.68048,                0.40146,                0.92232,                0.82925,                0.78382,                0.84658,                0.64249,                0.95432,                0.66931,                 1.0136,               0.002179,               0.002179,               0.002179
                     81,                0.67424,                0.39216,                0.91998,                0.82495,                0.78658,                0.84673,                0.64225,                 0.9548,                0.67028,                  1.014,                0.00208,                0.00208,                0.00208
                     82,                0.66881,                0.39734,                0.91669,                0.82735,                0.78535,                0.84649,                0.64199,                0.95486,                0.67117,                  1.014,               0.001981,               0.001981,               0.001981
                     83,                0.66876,                0.38828,                0.91788,                0.82847,                0.78266,                0.84622,                 0.6418,                0.95505,                0.67137,                 1.0145,               0.001882,               0.001882,               0.001882
                     84,                0.65755,                0.38574,                0.91409,                0.83083,                0.78138,                0.84625,                0.64158,                0.95523,                0.67126,                 1.0149,               0.001783,               0.001783,               0.001783
                     85,                0.65846,                0.38025,                0.91166,                0.82874,                0.78282,                  0.846,                0.64168,                0.95549,                0.67224,                 1.0154,               0.001684,               0.001684,               0.001684
                     86,                0.65469,                0.38078,                0.91091,                0.82949,                0.78085,                0.84548,                0.64179,                0.95539,                0.67313,                 1.0155,               0.001585,               0.001585,               0.001585
                     87,                0.65051,                 0.3774,                0.91306,                0.82711,                0.78439,                0.84546,                0.64158,                0.95545,                0.67373,                 1.0157,               0.001486,               0.001486,               0.001486
                     88,                0.64415,                0.37334,                0.90702,                0.82826,                0.78322,                0.84496,                0.64141,                0.95563,                 0.6749,                  1.016,               0.001387,               0.001387,               0.001387
                     89,                0.64187,                0.36963,                0.90508,                0.82926,                0.78318,                0.84501,                0.64131,                0.95619,                0.67555,                 1.0163,               0.001288,               0.001288,               0.001288
                     90,                0.63675,                0.36553,                0.90477,                0.83197,                0.78251,                0.84508,                0.64149,                0.95653,                0.67649,                 1.0164,               0.001189,               0.001189,               0.001189
                     91,                0.60821,                 0.3066,                0.87553,                0.83317,                0.78177,                0.84529,                0.64112,                0.95693,                0.67736,                 1.0166,                0.00109,                0.00109,                0.00109
                     92,                0.59137,                0.29806,                 0.8687,                0.83522,                0.78116,                0.84533,                0.64083,                0.95732,                0.67866,                 1.0168,               0.000991,               0.000991,               0.000991
                     93,                0.58979,                0.29605,                0.86807,                0.83644,                0.78045,                 0.8451,                 0.6407,                0.95735,                 0.6794,                 1.0168,               0.000892,               0.000892,               0.000892
                     94,                0.58222,                0.28866,                0.86794,                0.83865,                0.77911,                0.84497,                0.64097,                0.95775,                0.68053,                 1.0173,               0.000793,               0.000793,               0.000793
                     95,                0.56951,                0.28346,                0.86533,                0.83837,                0.77867,                0.84484,                0.64109,                0.95822,                0.68175,                 1.0179,               0.000694,               0.000694,               0.000694
                     96,                0.57107,                0.28114,                0.86373,                0.83958,                0.77778,                0.84478,                 0.6413,                0.95848,                0.68278,                 1.0182,               0.000595,               0.000595,               0.000595
                     97,                0.56141,                0.27858,                0.86016,                 0.8417,                0.77707,                 0.8447,                0.64143,                 0.9587,                0.68369,                 1.0185,               0.000496,               0.000496,               0.000496
                     98,                0.55247,                0.27276,                0.85679,                0.84192,                0.77621,                0.84453,                0.64105,                0.95918,                0.68481,                 1.0191,               0.000397,               0.000397,               0.000397
                     99,                0.54729,                0.27042,                0.85846,                0.84315,                0.77544,                0.84437,                0.64077,                0.95946,                0.68617,                 1.0195,               0.000298,               0.000298,               0.000298
                    100,                0.55118,                0.26807,                0.85913,                0.84608,                0.77186,                0.84393,                0.64036,                0.95995,                0.68736,                   1.02,               0.000199,               0.000199,               0.000199
